code;location;registered;envelopes;valid;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana
590053;Sta¯echovice;447;279;278;21;0;0;15;0;17;49;3;7;2;2;0;17
590061;StÌnava;126;74;73;21;0;0;15;0;17;49;3;7;2;2;0;17
590070;Straûisko;345;222;220;21;0;0;15;0;17;49;3;7;2;2;0;17
590088;Suchdol;499;360;356;21;0;0;15;0;17;49;3;7;2;2;0;17
590096;äubÌ¯ov;204;110;109;21;0;0;15;0;17;49;3;7;2;2;0;17
590100;TiötÌn;393;215;215;21;0;0;15;0;17;49;3;7;2;2;0;17
590118;Tvorovice;252;152;152;21;0;0;15;0;17;49;3;7;2;2;0;17
590126;UrËice;1†101;613;611;21;0;0;15;0;17;49;3;7;2;2;0;17
590134;VÌcemÏ¯ice;354;204;204;21;0;0;15;0;17;49;3;7;2;2;0;17
590142;VÌcov;404;254;250;21;0;0;15;0;17;49;3;7;2;2;0;17
544710;Vincencov;109;80;80;21;0;0;15;0;17;49;3;7;2;2;0;17
590151;VitËice;146;84;84;21;0;0;15;0;17;49;3;7;2;2;0;17
590177;Vranovice-KelËice;492;321;318;21;0;0;15;0;17;49;3;7;2;2;0;17
590185;Vrb·tky;1†306;863;857;21;0;0;15;0;17;49;3;7;2;2;0;17
590193;Vrchoslavice;478;282;275;21;0;0;15;0;17;49;3;7;2;2;0;17
590207;V¯esovice;419;281;280;21;0;0;15;0;17;49;3;7;2;2;0;17
590215;V˝öovice;399;266;263;21;0;0;15;0;17;49;3;7;2;2;0;17
590223;ZdÏtÌn;282;196;194;21;0;0;15;0;17;49;3;7;2;2;0;17
590240;éeleË;436;278;278;21;0;0;15;0;17;49;3;7;2;2;0;17
